楼盘,月租/元,城区,面积/m²,居室
深业塞纳湾,1800,东源城区,78,2
霸王花月亮湾,2200,东源城区,120,3
和平1号花园,1500,和平城区,100,3
和平碧桂园,2400,和平城区,140,4
华城国际,1600,和平城区,135,3
江山一品,2500,源城城区,108.61,3
碧桂园东江凤凰城,1000,源城城区,86,2
龙光城,1200,源城城区,87.25,3
和平中心花园,1100,和平城区,120,3
坚基公馆,1600,源城城区,85,2
邦达新村,1400,源城城区,130,3
龙光玖龙府,2000,源城城区,116,3
金沟湾,900,源城城区,35,1
德润东方银座,900,源城城区,53,1
坚基公馆,1200,源城城区,43.32,1
河源大道北117号住宅楼,800,源城城区,35,1
旺福小区,450,源城城区,22,1
恒大名都,1200,源城城区,51,1
碧桂园凤凰湾,2500,源城城区,188,4
润宏居,400,源城城区,28,1
恒大名都,1700,源城城区,70,2
龙光城,1800,源城城区,100,3
雅居乐花园,2500,源城城区,91,3
华达凯旋国际,2000,源城城区,75,2
坚基公馆,2600,源城城区,101.84,3
雅居乐花园,4200,源城城区,140,5
世纪年华,3000,源城城区,105,4
中泰金泽苑,1100,源城城区,68,2
坚基公馆,2000,源城城区,63,2
坚基公馆,1800,源城城区,59,2
祥福商住楼,1000,源城城区,99,3
雅居乐花园新地,2600,源城城区,106,3
金色领地,650,源城城区,39,1
坚基公馆,1599,源城城区,85,2
雅居乐花园,1500,源城城区,74,2
坚基公馆,1300,源城城区,33,1
香堤雅湾,2000,源城城区,122,3
龙光城,1800,源城城区,93,3
雅居乐花园,3000,源城城区,168,5
雅居乐花园,2000,源城城区,103,3
源江学苑,1600,东源城区,119,4
华达凯旋国际,1800,源城城区,52,2
雅居乐花园新地,2800,源城城区,130,4
万隆城,1300,源城城区,42,1
雅居乐花园新地,2300,源城城区,106.21,3
文景小区,1300,源城城区,118,3
坚基公馆,2600,源城城区,101.8,3
金色领地,1100,源城城区,75,2
坚基公馆,1400,源城城区,39,1
万隆城,1500,源城城区,45,1
丽日中心城,1100,源城城区,52,1
华达凯旋国际,1700,源城城区,75,2
雅居乐花园新地,2600,源城城区,109,3
雅居乐花园,1800,源城城区,99,3
理想家园,2600,东源城区,125,3
坚基美丽城,2300,源城城区,94.16,3
碧桂园凤雅苑,3300,源城城区,120,4
深业塞纳湾,1800,东源城区,78,2
华城国际,1600,和平城区,135,3
汇贤苑,950,源城城区,60,1
江山一品,2500,源城城区,108.61,3
龙光城,1200,源城城区,87.25,3
坚基公馆,1600,源城城区,85,2
和平碧桂园,2400,和平城区,140,4
和平中心花园,1100,和平城区,120,3
伊隆达小区,1500,和平城区,65,3
和平1号花园,1500,和平城区,100,3
恒大名都,1700,源城城区,70,2
坚基公馆,1200,源城城区,43.32,1
德润东方银座,900,源城城区,53,1
润宏居,400,源城城区,28,1
邦达新村,1400,源城城区,130,3
龙光城,1800,源城城区,100,3
龙光玖龙府,2000,源城城区,116,3
碧桂园凤凰湾,2500,源城城区,188,4
河源大道北117号住宅楼,800,源城城区,35,1
恒大名都,1200,源城城区,51,1
旺福小区,450,源城城区,22,1
金沟湾,900,源城城区,35,1
雅居乐花园,2500,源城城区,91,3
华达凯旋国际,2000,源城城区,75,2
坚基公馆,2600,源城城区,101.84,3
雅居乐花园,4200,源城城区,140,5
霸王花月亮湾,2200,东源城区,120,3
世纪年华,3000,源城城区,105,4
中泰金泽苑,1100,源城城区,68,2
坚基公馆,2000,源城城区,63,2
坚基公馆,1800,源城城区,59,2
祥福商住楼,1000,源城城区,99,3
雅居乐花园新地,2600,源城城区,106,3
金色领地,650,源城城区,39,1
坚基公馆,1599,源城城区,85,2
雅居乐花园,1500,源城城区,74,2
坚基公馆,1300,源城城区,33,1
香堤雅湾,2000,源城城区,122,3
龙光城,1800,源城城区,93,3
雅居乐花园,3000,源城城区,168,5
雅居乐花园,2000,源城城区,103,3
源江学苑,1600,东源城区,119,4
华达凯旋国际,1800,源城城区,52,2
雅居乐花园新地,2800,源城城区,130,4
万隆城,1300,源城城区,42,1
雅居乐花园新地,2300,源城城区,106.21,3
文景小区,1300,源城城区,118,3
坚基公馆,2600,源城城区,101.8,3
金色领地,1100,源城城区,75,2
坚基公馆,1400,源城城区,39,1
万隆城,1500,源城城区,45,1
丽日中心城,1100,源城城区,52,1
华达凯旋国际,1700,源城城区,75,2
雅居乐花园新地,2600,源城城区,109,3
雅居乐花园,1800,源城城区,99,3
理想家园,2600,东源城区,125,3
坚基美丽城,2300,源城城区,94.16,3
碧桂园凤雅苑,3300,源城城区,120,4
万隆城,1199,源城城区,43,1
坚基公馆,1200,源城城区,45,1
雅居乐花园,1800,源城城区,96,3
沁园春晓,900,源城城区,50,1
雅居乐花园,2000,源城城区,110.98,3
沁园春晓,900,源城城区,39,1
万隆城,1500,源城城区,45,1
雅居乐花园,1500,源城城区,61,1
雅居乐花园新地,2800,源城城区,120,4
坚基公馆,1800,源城城区,68,2
坚基公馆,1800,源城城区,65.5,1
华达凯旋国际,2100,源城城区,72,2
中泰金泽苑,900,源城城区,74,2
金色领地,1100,源城城区,73,2
沁园春晓,800,源城城区,50,1
华达凯旋国际,2800,源城城区,130,3
雅居乐花园,2000,源城城区,94.62,3
雅居乐花园新地,3300,源城城区,130.31,4
万隆城,1200,源城城区,40,1
坚基公馆,2300,源城城区,65,2
雅居乐花园,3000,源城城区,156,5
雅居乐花园,2000,源城城区,108,3
雅居乐花园,1700,源城城区,78,2
雅居乐花园,2000,源城城区,100,3
碧桂园东江凤凰城,1100,源城城区,90,3
雅居乐花园新地,2300,源城城区,91,3
希尔顿公馆,1700,源城城区,47,1
雅居乐花园,1500,源城城区,72,2
恒大名都,2500,源城城区,126,3
碧桂园东江凤凰城,2500,源城城区,125,4
理想家园,2800,东源城区,120,4
碧桂园凤凰湾,2500,源城城区,119,4
碧桂园凤凰湾,2000,源城城区,168,4
汇景御府中央,1500,源城城区,46.33,1
汇景御府中央,1600,源城城区,51,1
丰泽都市名苑,2300,源城城区,170,4
雅居乐花园,2000,源城城区,102,3
坚基公馆,2300,源城城区,84,2
恒大名都,1600,源城城区,53,1
雅居乐花园,1800,源城城区,74,2
坚基公馆,1400,源城城区,38.31,1
恒大名都,1900,源城城区,74,2
雅居乐花园,1500,源城城区,61,1
雅居乐花园,2100,源城城区,98,3
雅居乐花园,1500,源城城区,74,2
坚基公馆,1300,源城城区,33.88,1
碧桂园东江凤凰城,1600,源城城区,90,2
坚基公馆,2000,源城城区,80,2
雅居乐花园,1688,源城城区,80,2
坚基公馆,2600,源城城区,95,3
金色领地,600,源城城区,36,1
坚基公馆,2000,源城城区,84,2
碧桂园东江凤凰城,1600,源城城区,72,3
雅居乐花园,2000,源城城区,101.44,3
坚基公馆,1300,源城城区,43,1
雅居乐花园新地,2800,源城城区,110,4
长安新村,650,源城城区,43,1
汇景御府中央,1700,源城城区,47.86,1
金色领地,650,源城城区,32,1
雅居乐花园,1400,源城城区,61.05,1
坚基美好城,2600,源城城区,98,3
万隆城,1200,源城城区,43,1
碧桂园凤雅苑,1400,源城城区,96,3
雅居乐花园,1900,源城城区,74,2
碧桂园东江凤凰城,2000,源城城区,119,4
雅居乐君悦,2600,源城城区,130.44,3
雅居乐花园,1800,源城城区,87,2
雅居乐花园,1400,源城城区,61,2
坚基公馆,1700,源城城区,63.31,2
万隆城,1800,源城城区,43,1
雅居乐花园新地,2400,源城城区,91,3
坚基美好嘉园,600,源城城区,30,1
坚基公馆,2300,源城城区,84.7,2
兴业城,2100,源城城区,93,3
坚基公馆,2000,源城城区,63,2
华达凯旋城,2500,源城城区,150,4
雅居乐花园,1500,源城城区,61,1
坚基公馆,2300,源城城区,70,2
万隆城,1580,源城城区,41,1
坚基公馆,2300,源城城区,84.71,2
希尔顿公馆,1500,源城城区,46,1
坚基公馆,2200,源城城区,70,2
雅居乐花园,1400,源城城区,56,1
雅居乐花园新地,3000,源城城区,125,4
坚基公馆,2000,源城城区,48,2
万隆城,1500,源城城区,43,1
坚基公馆,2200,源城城区,84.7,2
雅居乐花园,1900,源城城区,75,2
坚基美好城,2600,源城城区,112,3
雅居乐花园,1500,源城城区,53,1
大世纪威尼斯花园,4500,源城城区,300,6
理想家园,2300,东源城区,125,3
坚基美丽城,2600,源城城区,124,4
金色领地,650,源城城区,35,1
万隆城,1500,源城城区,43,1
运恒花园,1400,源城城区,88,3
坚基公馆,2200,源城城区,84.57,2
深业塞纳湾,1800,东源城区,78,2
希尔顿公馆,1500,源城城区,75,1
雅居乐花园新地,2500,源城城区,120,4
希尔顿公馆,1400,源城城区,46,1
雅居乐花园新地,3300,源城城区,130.31,4
雅居乐花园,1500,源城城区,74,2
坚基公馆,2300,源城城区,59,2
万隆城,1300,源城城区,42,1
坚基公馆,2300,源城城区,68,2
雅居乐花园,2500,源城城区,124,3
雅居乐御宾府,3000,源城城区,105,3
希尔顿公馆,1500,源城城区,75,1
阳光星座,1000,源城城区,35,1
阳光星座,990,源城城区,45,1
万隆城,1700,源城城区,45,1
雅居乐花园,2300,源城城区,122,3
雅居乐花园,1400,源城城区,61,1
恒大名都,2500,源城城区,140.75,4
金色领地,650,源城城区,33,1
雅居乐花园,1500,源城城区,61,1
雅居乐花园新地,3100,源城城区,130,4
坚基公馆,2300,源城城区,84.74,2
碧桂园东江凤凰城,1800,源城城区,112,3
碧桂园东江凤凰城,1700,源城城区,96,3
坚基公馆,2600,源城城区,101,3
坚基公馆,2300,源城城区,84,2
香堤御景湾,1800,源城城区,83,3
雅居乐花园,2000,源城城区,102,3
恒大名都,1600,源城城区,53,1
坚基公馆,2000,源城城区,63,2
坚基公馆,1300,源城城区,43.12,1
雅居乐花园,1500,源城城区,61,2
理想家园,2600,东源城区,125,3
雅居乐花园,2000,源城城区,74,2
坚基公馆,2000,源城城区,63.31,2
雅居乐花园,1800,源城城区,94,3
雅居乐花园新地,1200,源城城区,70,2
雅居乐花园,2000,源城城区,128,3
雅居乐花园,1500,源城城区,61,1
沁园春晓,900,源城城区,50,1
碧桂园东江凤凰城,1300,源城城区,90,2
雅居乐花园,1400,源城城区,51,1
坚基公馆,1100,源城城区,45,1
雅居乐花园,2000,源城城区,93.36,3
雅居乐花园新地,2300,源城城区,81,3
雅居乐花园,2100,源城城区,91.08,3
运恒花园,500,源城城区,36,1
雅居乐花园,2000,源城城区,124,3
文景小区,1200,源城城区,126,4
雅居乐花园,2000,源城城区,94,3
金华花园,1500,龙川城区,110,3
金色领地,650,源城城区,33,1
雅居乐花园,3200,源城城区,158,4
义乌小商品批发城,1000,源城城区,38,1
阳光星座,900,源城城区,43,1
坚基公馆,1300,源城城区,43.12,1
邦达新村,1500,源城城区,130,3
坚基公馆,2800,源城城区,90,3
江景华庭,900,源城城区,36,1
雅居乐花园,1400,源城城区,74,2
坚基美丽城,2500,源城城区,94,3
广晟学府花园汇博苑,1700,源城城区,78,2
东江豪苑,1399,源城城区,85.8,2
碧桂园凤雅苑,3300,源城城区,120,4
臻和院,270,源城城区,30,1
丰泽都市名苑,2300,源城城区,170,4
坚基美好嘉园,600,源城城区,30,1
华业苑,2000,源城城区,146,3
雅居乐御宾府,3000,源城城区,105,3
河源大道北117号住宅楼,800,源城城区,35,1
运恒花园,500,源城城区,36,1
江泮花城,1600,源城城区,92,3
坚基公馆,499,源城城区,49,1
百利保花园,1100,龙川城区,131,3
沁园春晓,900,源城城区,40,1
东悦华庭,750,源城城区,68,2
御福花园(源城),3000,源城城区,170,4
丽日中心城,1500,源城城区,60,1
铭成花园,2200,源城城区,115,3
文昌花园,2000,源城城区,101,3
绿苑,1500,源城城区,100,3
金色领地,1000,源城城区,79,2
长鸿花园,2300,源城城区,138,4
雅居乐花园,1200,源城城区,58,1
润隆居(源城),1800,源城城区,120,3
邦达新村,1400,源城城区,130,3
汇景外滩8号,3000,源城城区,106,3
雅居乐花园新地,1800,源城城区,117,3
名仕家园,1600,源城城区,112,3
雅居乐花园,1800,源城城区,120,3
文景小区,900,源城城区,89,3
高岭顶安置小区,700,源城城区,45,1
华达凯旋国际,2600,源城城区,110,3
方圆月岛首府,1500,紫金城区,10,4
坚基公馆,1600,源城城区,85,2
金色领地,1300,源城城区,66,2
恒大名都,600,源城城区,35,1
万隆城,1700,源城城区,43.22,1
汇龙小区,1000,龙川城区,105,4
安逸苑,1200,源城城区,117,3
幸福小区,500,源城城区,29,1
凤馨苑,2500,源城城区,138,4
和平1号花园,1500,和平城区,100,3
裕隆花园,1700,源城城区,125,3
龙川碧桂园,3000,龙川城区,143,4
源江豪庭,950,东源城区,50,2
龙川碧桂园,1600,龙川城区,117,3
碧桂园东江凤凰城,2000,源城城区,167,4
永福小区,1000,源城城区,100,3
雅居乐花园(别墅),1650,源城城区,75,2
浩创花语城,1600,东源城区,43,1
东江豪庭,600,龙川城区,20,1
家和大厦,1500,龙川城区,93,3
香堤雅湾,1400,源城城区,126,3
翡翠星城,1000,源城城区,46,1
明珠华庭,800,源城城区,36,1
宝豪御龙湾二期,2500,源城城区,106,3
雅居乐花园,1600,源城城区,61,2
康德名都,2600,源城城区,115,3
坚基公馆,1400,源城城区,38.33,1
雅居乐花园新地,3800,源城城区,144.48,5
俊园轩,1700,东源城区,126,3
雅居乐花园,1800,源城城区,93,3
茶园小区,1000,源城城区,35,2
万隆一品,2500,源城城区,120,4
坚基公馆,2700,源城城区,90,2
万家和商住楼,1000,源城城区,120,5
雅居乐花园,2300,源城城区,98,3
恒大名都,1300,源城城区,58,1
锦绣名雅,1300,源城城区,98,2
骏景花园(龙川),2500,龙川城区,139,4
碧桂园东江凤凰城,2300,源城城区,167,4
和平中心花园,1100,和平城区,120,3
碧桂园凤凰湾,4200,源城城区,153,4
汇福楼,700,和平城区,64,2
凤馨苑,2500,源城城区,148,4
广晟学府花园,1700,源城城区,103,3
东方比华利山庄,1300,源城城区,100,3
检察院宿舍,1900,源城城区,220,5
万绿商业广场,600,源城城区,51,2
碧桂园东江凤凰城,1800,源城城区,120,3
星荟公馆,900,源城城区,23,1
金色雅筑,750,源城城区,80,3
和平碧桂园,2400,和平城区,140,4
恒大名都,1700,源城城区,41,1
世纪年华,2500,源城城区,127,2
雅居乐花园,1800,源城城区,112,3
俊园轩,1699,东源城区,125,3
雅居乐花园,2000,源城城区,91.25,3
华达凯旋国际,2100,源城城区,75,2
龙光玖龙府,2999,源城城区,128,4
朱门亭,350,源城城区,15,1
宝晟城,2500,东源城区,130,3
金色领地,800,源城城区,60,2
雅居乐花园,2180,源城城区,80,3
广晟学府花园汇博苑,1500,源城城区,75,2
金蓬美域,2200,源城城区,100,3
大同南路住宅,400,源城城区,30,1
兴泰花园,1800,龙川城区,110,2
友诚花园,400,源城城区,35,1
理想家园,3000,东源城区,135,4
恒大名都,1598,源城城区,57,1
雅居乐花园,1800,源城城区,73,2
翡翠星城,800,源城城区,43,1
金源小区,3500,源城城区,260,6
御水花园,1300,和平城区,100,3
龙光玖龙府,3000,源城城区,129,4
民乐楼,800,源城城区,70,2
碧桂园东江凤凰城,1800,源城城区,86,2
高岭顶安置小区,600,源城城区,25,1
翡翠星城,1800,源城城区,86,2
时代花园,2500,源城城区,130,3
翡翠星城,2200,源城城区,123,3
碧桂园东江凤凰城,1500,源城城区,87,2
骏景花园(源城),2000,源城城区,105,3
恒大名都,2900,源城城区,117,3
雅居乐花园新地,2300,源城城区,100,3
万隆城,1200,源城城区,40,1
润隆居(源城),2000,源城城区,115,4
金色领地,600,源城城区,30,1
碧洋居,600,源城城区,50,2
家和水岸沁园,1000,龙川城区,100,3
雅香苑,1500,龙川城区,138,4
德润世家,2000,源城城区,123,3
河源广场,1700,源城城区,105,3
虹景小区,850,源城城区,75,2
十里东岸,2300,紫金城区,110,3
铂雅苑金麟府,1300,源城城区,100,2
恒大名都,2000,源城城区,102,3
相印花园,1100,龙川城区,110,4
雅居乐花园,2000,源城城区,95,3
金色领地,1200,源城城区,40,2
民旺小区,450,源城城区,30,1
御水花园,2500,和平城区,130,4
黄石岭小区,1000,源城城区,100,3
华达凯旋国际,2800,源城城区,124,3
碧桂园东江凤凰城,1600,源城城区,90,3
长城华景苑,2500,龙川城区,120,3
雅居乐花园,1900,源城城区,76,2
雅居乐花园新地,2000,源城城区,92,4
锦绣家园,900,龙川城区,125,4
嘉源楼,500,源城城区,50,2
怡景云天,1699,源城城区,133,3
广晟学府花园,700,源城城区,30,1
雅居乐花园新地,1200,源城城区,72,2
骏景花园(源城),1800,源城城区,108,3
金色领地,700,源城城区,35,1
万隆一品,2500,源城城区,118,3
雅居乐花园(别墅),1799,源城城区,72,2
丰源新村,780,源城城区,90,3
丽日中心城,1200,源城城区,34,1
福新大厦,1600,源城城区,82,3
新达居,1700,源城城区,98,3
雅居乐花园新地,2800,源城城区,130,4
俊园轩,1600,东源城区,125,3
碧桂园凤雅苑,1600,源城城区,90,3
比华利山庄,1800,源城城区,85,2
金蓬美域,2200,源城城区,106,3
恒基大厦,280,源城城区,50,1
旺福小区,480,源城城区,35,1
顺和新苑,1000,源城城区,87,2
宝晟城,2000,东源城区,85,3
香堤雅湾,1500,源城城区,84,2
百信梧桐嘉园,2000,紫金城区,105,3
丽日中心城,1200,源城城区,35,1
泰和江畔城市主场,2500,源城城区,99,3
凤馨苑,1800,源城城区,107,3
华达新城,3300,源城城区,147,4
龙川碧桂园,4800,龙川城区,240,5
绿苑,1500,源城城区,90,3
希尔顿公馆,1200,源城城区,34,1
恒大名都,1700,源城城区,74,2
世纪年华,2800,源城城区,125,3
德润东方银座,800,源城城区,45,1
恒大名都,2000,源城城区,74,2
河源美的城,1200,东源城区,105,3
恒大名都,1500,源城城区,51,1
沁园春晓,1799,源城城区,100,2
怡景云天,2500,源城城区,160,4
沁园春晓,800,源城城区,50,1
丽格雅苑,2200,东源城区,140,4
坚基公馆,600,源城城区,45,1
万绿商业广场,350,源城城区,42,1
大塘安置小区,1500,源城城区,108,3
雅居乐花园,1600,源城城区,76,2
华达凯旋国际,1800,源城城区,128,3
金色领地,300,源城城区,20,1
雅居乐花园,1800,源城城区,120,4
恒大名都,2100,源城城区,120,3
康德名都,2500,源城城区,115,3
碧桂园东江凤凰城,1800,源城城区,115,3
万绿商业广场,700,源城城区,45,2
希尔顿公馆,1400,源城城区,60,1
华达凯旋国际,2600,源城城区,103,3
龙光城,1500,源城城区,108,3
万隆城,1600,源城城区,79,3
星光源江学苑,2600,东源城区,158,4
旺福小区,600,源城城区,40,1
德欣豪庭,2000,源城城区,125,3
恒大名都,2100,源城城区,122,3
碧桂园东江凤凰城,2000,源城城区,116,3
碧桂园东江凤凰城,1000,源城城区,107,3
西岸悦湾,2500,龙川城区,115,3
东江首府,2900,源城城区,159,3
浩创花语城,1500,东源城区,46,1
雅居乐花园新地,1500,源城城区,97,3
坚基公馆,1200,源城城区,34,1
德润华府,2200,源城城区,118,3
丽日中心城,1500,源城城区,113,2
万隆一品,1900,源城城区,86,2
万厦虹景花园,1500,源城城区,92,2
碧桂园天麓山,2000,和平城区,112,3
金色领地,1500,源城城区,64,2
鸿翔华庭,1800,源城城区,128,3
坚基公馆,1600,源城城区,65,2
恒大名都,1800,源城城区,80,2
阳光星座,1000,源城城区,39,1
绿苑,1200,源城城区,101,3
明珠华庭,900,源城城区,45,1
雅居乐花园,2900,源城城区,160,4
香堤雅湾,2000,源城城区,119,3
恒大名都,1400,源城城区,80,2
御水花园,1500,和平城区,120,3
万绿春天,4000,东源城区,170,4
